ID,F1,F5,F2,F1_1,F2_1,F6,F4,F3,F5_1,F1_2,F2_2,F6_1,F2_3,F4_1,F2_4,F5_2,F2_5,F6_2,F1_3,F2_6,F5_3,F4_2,F2_7,F3_1,F2_8,F5_4,F3_2,F1_4,F3_3,F1_5,F5_5,F6_3,F1_6,F5_6,F2_9,F3_4,F4_3,F2_10,F1_7,F6_4,F4_4,F5_7,F3_5,F2_11
132,5,3,5,5,5,1,5,4,5,5,5,5,5,4,5,1,5,5,5,5,3,4,5,4,4,4,4,3,4,5,1,1,5,1,5,4,4,3,5,2,5,4,2,5
133,4,4,5,5,4,4,4,3,3,4,4,3,4,3,4,2,4,3,4,4,4,4,3,3,4,3,3,3,3,4,2,4,4,2,4,3,3,4,3,4,4,4,3,4
134,3,2,5,4,5,4,5,4,4,4,4,2,4,3,5,1,5,5,4,5,4,3,4,3,4,3,3,4,3,3,2,4,5,4,5,3,3,4,4,4,5,5,1,4
135,5,2,4,5,4,2,5,4,3,5,4,4,5,2,4,2,5,4,5,4,3,4,4,4,4,4,4,4,4,5,1,2,5,2,5,3,2,4,5,3,5,5,3,4
136,5,3,5,5,5,3,5,4,3,5,5,5,4,3,5,1,5,5,5,5,3,4,5,2,5,3,2,4,2,5,1,1,5,1,5,2,2,5,3,3,5,5,1,5
137,4,2,4,5,4,3,2,4,3,4,4,4,3,5,4,2,4,4,5,5,4,2,2,4,4,2,1,4,3,4,2,2,4,2,4,2,5,2,4,4,4,5,1,4
138,4,3,4,5,5,1,4,4,4,4,4,4,2,3,4,1,5,5,5,5,4,5,5,4,5,3,3,3,4,4,1,1,5,1,5,3,2,4,3,2,5,3,2,4
139,5,3,5,5,4,1,5,3,5,5,5,5,5,5,4,2,5,5,5,4,5,3,4,4,4,4,4,3,5,5,1,1,5,1,4,4,4,4,1,3,2,5,1,4
140,4,2,4,4,4,2,4,3,3,4,4,4,4,4,4,2,5,4,4,4,3,4,4,3,4,3,3,3,4,4,2,2,4,2,4,3,4,4,3,4,4,4,2,4
141,4,3,5,5,5,2,4,4,4,5,5,4,5,2,5,4,5,5,5,5,3,5,4,3,5,3,4,3,4,4,2,2,4,2,5,2,2,5,4,3,5,5,3,4
142,5,2,5,5,5,4,4,4,5,4,5,5,4,4,4,1,5,5,5,5,4,4,4,4,4,3,4,5,4,5,1,2,5,2,5,4,4,4,4,2,4,5,1,4
143,4,2,5,4,4,2,4,2,3,5,4,4,4,4,4,2,5,5,5,4,2,2,3,4,4,2,2,5,2,4,2,1,5,2,4,4,2,4,4,2,4,4,2,4
144,5,2,4,5,4,2,4,4,4,5,4,5,4,4,5,1,4,5,5,5,4,4,4,5,4,4,4,5,4,5,2,2,5,2,4,3,4,4,4,4,4,4,3,4
145,5,3,5,5,5,3,4,2,3,5,5,4,5,2,4,2,4,4,5,5,4,4,,3,4,3,2,4,2,5,2,2,4,2,4,2,2,4,4,3,4,4,2,4
146,5,2,5,5,4,2,4,2,4,4,4,5,5,4,4,1,4,5,5,5,4,2,5,4,4,4,2,4,2,5,1,2,5,2,4,2,4,2,4,2,4,5,1,4
147,4,3,4,4,4,2,4,3,3,5,4,4,4,4,5,2,5,4,4,5,4,4,4,4,4,3,3,4,4,4,2,1,4,2,5,4,4,3,4,4,4,4,2,4
148,4,2,5,4,4,4,4,3,3,4,5,4,4,4,4,2,5,4,4,5,3,4,4,2,4,4,2,3,4,4,2,2,4,2,4,2,4,4,3,4,4,4,2,4
149,5,3,4,5,5,3,5,3,3,4,4,5,4,2,4,1,5,5,5,5,3,5,5,3,5,2,3,3,4,4,1,1,5,3,5,3,2,4,4,3,5,4,2,5
150,5,4,5,5,5,1,5,5,4,5,5,5,5,1,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,2,5,3,5,5,2,5,5,4,5,5,3,5
151,5,2,5,5,5,1,5,1,5,5,5,,4,1,5,4,5,5,5,4,5,5,5,1,5,3,1,5,2,5,1,2,5,1,5,2,1,5,5,3,5,5,2,5
152,4,2,4,4,4,4,4,4,4,4,4,4,4,5,5,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,1,2,5,1,5,4,4,4,4,3,3,5,2,4
153,4,1,2,3,5,4,4,4,4,4,2,4,5,2,4,4,5,5,4,5,4,5,5,4,5,4,4,2,4,4,1,2,4,1,5,4,4,4,2,4,5,5,1,4
154,5,2,5,5,5,4,5,4,4,5,5,5,5,4,5,1,5,5,5,5,4,5,,4,5,4,4,5,4,5,2,1,5,2,5,4,4,5,5,4,5,5,4,5
155,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,2,4,4,4,4,4,4,3,3,4,3,4,2,4,3,2,2,4,3,4,4,4,4,2,4,4,4,2,4
156,5,1,5,5,5,1,5,5,4,5,5,5,1,1,4,2,5,5,5,5,5,5,4,3,5,3,4,4,4,5,1,1,5,1,5,4,1,5,5,2,5,5,4,5
157,5,1,5,5,5,1,5,4,4,5,5,5,5,5,4,,5,5,5,5,5,4,5,5,5,3,3,5,4,5,1,1,5,1,5,4,4,3,5,2,4,5,2,5
158,5,2,4,5,4,2,3,3,4,4,4,4,4,2,4,2,5,4,4,4,4,5,5,2,4,3,2,4,4,4,1,2,4,2,4,2,2,4,4,4,4,4,2,4
159,4,3,5,4,5,4,4,2,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,2,2,2,4,4,4,4,2,4,2,2,4,4,3,2,4
160,4,3,4,4,5,2,4,3,3,4,4,4,4,4,5,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,3,4,5,3,4
161,4,2,4,4,4,2,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,2,4,4,2,4,4,4,4,4,2,4
162,4,3,4,4,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,2,3,4,2,4,4,4,3,4,4,3,4,4,4
163,5,,2,4,5,2,4,4,4,4,4,4,3,2,5,1,5,5,5,5,4,5,5,5,5,2,4,4,4,5,1,1,4,1,4,4,2,4,4,2,5,4,4,4
164,4,2,5,5,4,1,5,5,4,5,5,5,5,3,5,3,5,5,5,5,4,4,4,4,5,4,5,4,4,5,1,1,5,2,5,5,4,5,4,2,5,5,1,4
165,5,2,5,5,5,1,5,2,4,5,5,5,5,2,5,1,5,5,5,5,2,4,4,2,4,4,1,4,2,5,2,1,5,1,5,1,2,4,4,3,4,4,1,5
166,4,3,5,5,4,5,4,4,4,5,5,4,4,3,4,3,4,3,4,4,5,4,5,4,4,4,3,3,4,4,2,3,4,3,4,4,4,4,4,4,4,4,2,4
167,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,2,4,4,3,3,2,3,4,2,2,4
168,5,3,5,5,4,3,3,3,5,5,5,4,4,5,5,1,4,4,5,5,5,4,3,3,4,5,4,5,3,4,1,2,5,2,5,4,3,5,4,3,4,,3,4
169,5,3,4,5,4,3,5,4,3,4,4,4,4,3,4,3,4,4,5,5,3,5,4,4,4,3,3,4,4,4,2,3,4,2,4,3,3,4,4,3,4,4,2,4
170,5,2,5,5,5,2,5,5,5,5,5,5,4,2,5,2,5,5,5,5,5,5,5,4,5,5,5,4,4,5,1,1,5,1,5,5,2,5,5,2,5,5,4,5
171,5,3,5,4,5,2,3,3,3,4,5,5,4,3,5,1,5,5,5,5,3,4,4,2,5,4,4,4,3,4,1,1,5,1,5,4,5,4,4,3,4,5,2,5
172,5,2,5,5,5,2,5,4,4,5,5,4,4,5,4,2,4,5,5,5,3,5,5,5,5,4,5,5,4,5,1,1,5,2,5,5,1,5,5,4,5,5,3,5
173,3,1,5,3,4,2,5,4,4,5,5,5,4,5,5,1,5,5,4,5,3,4,5,3,4,2,3,4,3,4,1,1,3,1,5,3,5,4,4,4,5,5,3,5
174,4,1,5,5,4,2,5,4,4,5,5,5,5,3,4,1,5,5,5,4,4,4,4,,5,5,4,4,4,4,1,2,5,1,5,4,1,5,4,4,4,5,4,4
175,5,4,5,5,5,2,5,4,5,5,5,5,5,3,5,5,5,5,5,5,2,4,5,4,5,4,4,4,4,5,2,2,5,2,5,4,2,4,4,2,4,4,4,5
176,4,3,5,4,5,4,4,4,4,5,5,4,5,4,4,2,4,4,4,5,5,4,4,4,4,4,4,4,4,4,1,2,5,3,4,4,4,5,3,4,4,4,1,4
177,5,2,5,5,5,3,5,4,3,5,5,3,4,2,5,2,5,5,5,5,5,5,5,4,4,4,4,5,4,5,2,2,5,3,5,4,3,4,4,4,5,5,5,5
178,4,2,4,4,4,4,4,4,4,4,4,4,1,5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,4,2,4,4,4,4,4,4,4,4,2,4
179,5,2,5,4,5,2,4,4,3,5,5,4,4,2,5,1,5,5,5,5,3,4,4,4,4,3,4,4,4,4,2,1,5,2,4,4,3,4,4,3,4,5,2,4
180,5,4,5,5,4,2,5,4,5,5,5,4,4,2,5,2,5,3,5,4,5,5,5,4,5,5,4,1,4,5,3,2,5,1,5,4,2,5,5,5,5,5,3,5
181,5,4,5,5,5,1,5,4,4,5,5,5,4,2,5,1,5,4,5,5,4,5,4,4,5,4,4,5,4,5,1,2,5,2,4,4,2,5,4,4,5,4,5,5
182,5,1,5,5,4,3,4,4,3,5,4,4,3,4,4,2,5,4,5,5,5,3,4,4,4,3,3,3,4,4,1,3,5,1,4,3,3,3,3,4,4,5,2,3
183,5,2,4,5,4,4,4,4,3,5,3,4,4,4,5,3,4,5,5,4,4,4,4,4,4,4,3,3,2,5,1,4,5,1,4,3,4,4,3,2,4,5,4,4
184,5,2,5,5,4,2,5,3,4,5,4,5,4,3,4,2,4,5,5,4,3,4,4,2,4,2,1,2,1,4,1,1,4,1,4,1,4,3,3,3,4,3,1,4
185,5,5,5,5,5,3,5,2,3,5,5,5,5,1,4,2,5,5,5,5,2,5,5,2,5,3,1,4,2,5,2,2,5,4,5,3,2,5,5,3,5,5,3,5
186,5,2,4,5,4,2,5,5,3,5,4,4,4,2,5,1,5,4,5,5,3,4,4,3,5,2,5,4,3,5,2,2,5,3,5,5,2,5,5,3,5,4,4,4
187,5,2,5,5,4,4,4,4,4,4,4,4,4,3,4,2,5,5,5,5,4,4,5,4,4,4,4,4,4,5,2,4,5,2,4,3,4,4,4,4,5,5,4,5
188,5,3,5,5,5,2,5,4,4,5,4,5,4,2,5,2,5,5,5,5,3,4,4,4,5,4,4,4,4,4,2,2,5,1,5,4,2,4,3,3,4,5,3,5
189,4,2,5,5,5,3,4,4,3,5,5,4,5,2,5,1,5,5,5,5,1,4,5,4,5,2,4,4,4,4,1,2,5,2,4,4,4,4,3,4,4,5,3,4
190,5,4,5,5,5,2,5,2,4,5,5,4,5,3,5,2,5,5,5,5,4,4,4,2,5,4,2,4,3,5,2,2,5,2,5,2,3,4,3,4,5,4,4,5
191,4,2,5,4,5,1,5,4,4,5,5,5,5,2,5,1,5,5,4,5,5,5,5,4,5,4,2,3,4,4,1,2,5,1,5,4,2,5,4,3,5,5,4,5
192,3,1,5,4,5,2,3,5,5,5,5,5,4,3,4,1,5,5,4,5,2,3,4,4,5,4,4,5,4,3,1,2,5,1,5,4,3,4,3,2,3,5,4,4
193,4,2,5,4,5,2,4,4,3,5,5,4,2,4,5,1,5,5,5,5,4,4,4,4,5,3,4,3,4,4,2,2,5,2,5,4,4,5,3,4,4,5,2,4
194,4,4,5,4,5,3,4,4,3,3,5,4,5,2,4,1,5,4,4,5,4,4,5,3,5,4,3,4,4,3,1,2,4,3,4,2,2,4,2,4,4,5,2,4
195,4,2,4,4,4,2,4,2,3,4,4,4,3,4,4,2,4,4,4,4,3,3,4,2,4,3,3,4,3,4,2,2,4,3,4,2,2,4,4,4,3,4,3,4
196,4,3,5,4,5,1,4,4,2,4,4,4,2,2,4,2,5,5,5,5,1,4,4,4,4,2,4,4,4,4,1,1,5,2,4,4,2,4,4,2,4,4,2,4
197,4,4,5,5,5,2,4,4,4,4,4,5,3,2,5,4,5,5,5,5,3,4,5,5,4,4,3,4,4,4,1,1,5,1,5,5,3,5,5,4,4,5,3,5
198,5,2,5,4,4,2,4,4,4,5,5,4,4,4,4,1,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,2,5,4,4,4,2,2,4,3,2,2,1,3
199,5,3,5,4,5,1,5,4,4,4,4,5,4,2,5,3,5,5,5,5,3,4,5,3,4,3,4,4,3,4,2,2,4,3,4,3,3,4,4,4,4,4,4,4
200,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,5,5,4,5,5,4,5,3,4,3,4,4,2,4,4,2,4,4,2,4,4,4,5,5,1,4
201,4,4,5,4,5,2,4,3,4,4,4,4,4,3,5,3,4,4,4,5,4,4,4,3,4,4,3,4,3,4,4,2,4,4,4,4,3,4,3,3,4,4,4,4
202,4,2,4,4,5,2,4,4,4,4,4,4,4,2,4,2,4,4,4,4,5,4,4,3,4,4,4,3,4,3,2,2,4,2,4,3,2,4,4,4,4,4,2,4
203,5,3,5,5,5,2,4,4,5,5,5,5,5,1,5,1,5,5,5,5,3,5,5,4,5,3,4,5,4,5,1,1,5,1,5,5,3,5,4,3,5,5,3,5
204,4,3,4,4,5,3,4,5,4,4,4,4,4,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
205,5,4,4,5,5,4,4,2,4,5,4,4,3,2,4,2,4,5,5,4,4,4,,4,4,3,2,4,2,5,1,2,5,2,4,3,4,4,5,3,4,5,3,4
206,4,2,4,4,5,3,4,4,4,5,4,4,4,3,4,5,5,4,4,3,4,4,3,4,4,5,4,4,4,5,1,4,4,2,4,4,4,4,4,3,3,4,2,4
207,5,5,5,5,4,2,4,2,3,5,5,5,5,5,5,3,5,5,5,5,5,4,5,2,5,3,2,4,2,4,2,1,5,2,5,2,4,5,5,3,4,5,2,5
208,4,2,5,5,4,2,4,4,4,4,4,5,5,3,4,2,5,5,3,4,4,4,4,5,4,4,4,4,4,3,1,3,4,1,4,4,3,5,4,4,4,4,3,4
209,5,4,5,5,4,4,4,4,4,5,5,5,5,4,4,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,2,3,5,2,5,4,3,4,4,4,4,4,4,4
210,4,4,5,4,5,2,4,4,5,5,5,4,4,4,4,4,5,5,4,5,3,5,5,4,4,4,4,4,4,4,2,3,4,2,4,4,2,4,2,3,5,4,2,4
211,4,5,4,4,5,4,4,4,3,4,5,4,4,2,4,1,4,4,4,4,3,5,4,3,4,2,3,2,3,4,3,2,4,4,5,3,2,4,4,3,4,3,1,4
212,4,3,4,4,4,2,4,3,4,4,4,4,4,4,4,2,4,5,4,4,4,4,2,2,4,4,3,4,3,4,2,2,4,2,4,4,4,4,4,4,4,5,3,4
213,5,1,5,5,4,1,5,4,3,5,5,5,5,4,5,2,5,5,5,5,5,3,5,3,4,2,3,5,3,5,1,1,5,1,5,3,4,5,5,1,3,5,3,4
214,5,3,5,5,3,4,4,2,3,4,4,4,4,4,4,2,4,4,5,4,4,3,1,2,4,3,2,2,2,4,2,3,4,2,4,2,4,4,3,4,4,5,3,4
215,5,4,4,4,4,1,4,3,3,4,4,4,5,4,5,1,5,5,4,4,2,4,2,4,4,4,4,3,4,4,2,2,4,4,4,3,3,4,4,3,4,5,2,4
216,5,3,4,5,4,3,4,3,4,4,4,4,4,3,5,3,4,4,4,4,4,4,4,4,4,3,3,3,2,4,2,4,4,3,4,4,3,4,3,3,4,4,1,4
217,4,2,4,4,4,2,4,3,4,4,4,4,5,3,4,2,4,4,4,4,4,4,4,3,5,4,3,4,2,4,2,2,5,2,5,2,3,4,4,4,4,4,1,4
218,5,2,5,5,5,4,5,4,4,5,5,4,5,1,4,2,5,5,5,5,5,5,5,4,5,5,5,5,4,5,2,4,5,2,4,4,2,4,4,4,4,4,4,4
219,4,1,4,4,3,2,4,4,3,4,4,5,4,3,4,2,4,5,4,4,4,3,3,4,5,4,4,4,4,4,1,2,4,1,4,4,3,5,4,3,4,5,3,4
220,5,4,4,5,5,2,4,4,4,4,4,4,3,2,4,4,5,4,5,5,4,5,4,4,5,3,4,5,4,5,2,3,5,4,5,4,2,5,5,3,5,5,3,4
221,3,1,5,4,5,2,5,4,5,5,5,5,5,2,5,1,5,5,4,5,3,4,4,4,5,4,4,3,4,4,1,2,5,1,5,4,1,4,3,3,4,3,4,4
222,5,3,5,5,5,3,5,4,5,5,5,4,5,4,5,2,5,5,5,5,4,4,5,4,5,5,4,5,4,5,1,1,5,2,5,4,3,5,5,2,5,5,5,5
223,5,3,4,5,5,2,5,4,4,5,4,4,4,3,4,2,4,5,5,5,4,5,4,4,4,4,3,3,4,4,2,2,4,1,4,2,4,4,4,5,5,4,1,5
224,5,2,5,5,4,2,4,2,4,5,5,5,5,4,4,1,5,4,5,5,5,5,5,5,5,5,4,4,4,5,1,2,5,1,5,5,2,5,5,4,5,4,4,5
225,4,2,4,4,4,2,4,3,3,4,3,3,4,2,4,2,4,3,4,4,3,3,3,3,4,3,3,4,3,4,1,2,4,2,4,4,3,3,4,3,4,4,3,4
226,5,3,5,4,4,2,4,4,3,5,5,5,5,2,4,1,4,5,4,4,3,4,4,3,4,3,4,5,4,4,3,2,5,3,4,3,2,4,4,3,4,3,4,4
227,4,2,4,4,5,3,5,5,4,5,5,5,5,4,4,2,5,5,5,5,3,4,5,4,4,4,3,3,4,4,2,3,5,3,5,4,4,3,3,2,4,4,2,4
228,3,4,5,2,5,1,5,4,3,5,5,4,4,3,5,1,5,5,2,5,2,4,4,2,5,2,4,3,4,4,1,2,5,2,5,3,3,5,2,4,4,5,2,4
229,4,2,5,5,4,4,4,4,5,5,5,5,4,3,5,2,5,4,5,5,4,4,4,4,4,5,4,4,4,5,1,2,5,3,4,4,3,4,4,2,4,5,4,5
230,5,2,5,5,5,2,4,4,4,5,5,4,2,2,5,1,5,5,5,5,3,5,4,4,5,3,4,4,5,5,1,2,5,1,5,4,2,5,4,3,5,4,2,5
231,5,3,5,5,5,2,4,3,3,5,5,5,5,1,5,2,5,5,5,5,3,5,5,4,5,3,3,5,3,5,1,2,5,3,5,3,3,4,5,2,5,5,3,4
232,5,3,5,5,5,1,4,4,4,5,5,5,4,2,5,1,5,5,5,5,5,5,5,5,5,4,4,5,4,5,3,1,5,1,5,4,2,5,5,2,5,5,3,5
233,5,3,4,4,4,2,3,3,5,4,4,5,4,2,4,2,5,5,5,4,5,4,4,3,4,5,4,3,4,4,3,1,4,2,4,4,3,4,3,3,4,3,4,4
234,3,3,5,4,5,4,4,4,4,4,4,5,4,4,4,2,4,4,4,4,4,4,4,2,4,3,2,3,2,4,2,1,5,4,4,2,4,4,3,3,4,4,2,4
235,5,3,4,5,4,4,3,4,3,4,4,3,4,3,4,2,4,3,5,4,4,4,3,4,4,4,4,5,4,5,2,2,4,2,4,4,3,4,4,3,4,3,3,4
236,4,2,4,3,4,4,2,4,4,3,4,3,4,3,4,3,4,3,4,4,5,4,2,3,4,5,4,3,3,4,2,4,3,4,4,4,3,4,3,4,3,4,3,4
237,5,2,5,5,5,2,4,4,4,5,5,5,4,4,5,1,5,4,5,5,5,4,4,4,4,3,4,4,4,5,1,2,5,2,4,4,3,4,5,4,4,5,4,4
238,4,4,5,5,4,3,5,4,3,4,5,5,5,5,5,3,5,5,4,5,4,4,4,3,4,3,3,4,3,5,2,4,5,3,5,3,3,4,4,4,4,5,3,4
239,4,2,4,4,4,2,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4
240,5,2,5,5,5,2,5,4,5,5,5,5,5,2,5,4,5,5,5,5,5,5,5,4,5,5,4,5,4,5,1,1,5,4,5,5,4,5,5,4,5,5,3,5
241,4,4,3,5,4,2,4,3,4,4,4,4,4,3,5,4,5,4,4,5,4,4,4,3,5,4,3,4,3,4,3,2,4,4,4,3,2,4,4,4,5,3,2,4
242,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4
243,3,2,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3
244,5,2,5,5,5,1,5,3,3,5,5,5,5,3,5,1,5,5,5,5,2,5,5,5,5,3,4,5,4,5,2,1,5,2,5,4,1,5,5,4,5,3,3,5
245,4,2,5,4,4,1,5,4,4,4,5,5,5,4,5,1,5,5,4,5,4,4,4,3,4,4,4,3,4,4,1,1,4,1,4,4,4,4,4,3,4,5,3,4
246,3,4,4,3,5,1,1,4,4,4,4,4,4,1,5,3,5,4,4,5,4,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,1,4,3,4,5,4,3,4
247,5,3,3,5,5,2,4,4,4,4,4,5,4,3,5,3,5,4,5,5,4,4,4,3,4,4,3,4,4,5,2,2,4,2,4,4,3,3,5,3,4,5,4,4
248,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,4,4,3,4
249,4,2,5,4,4,2,4,4,4,5,5,5,4,4,5,2,5,5,4,5,4,4,4,4,4,4,4,4,4,4,1,2,4,3,4,4,4,4,4,3,4,5,3,4
250,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3,4,3,4,4,3,4,4,3,4,3,3,4
251,5,2,5,5,5,3,5,3,5,5,5,5,1,3,5,1,5,5,5,5,2,5,,4,5,3,2,2,4,5,4,4,5,4,5,2,3,4,5,2,5,5,5,5
252,4,2,4,4,4,2,4,4,3,4,4,4,2,5,4,1,5,4,4,4,4,4,4,4,4,3,2,4,2,4,1,2,4,2,4,2,5,4,4,4,4,5,1,3
253,5,2,4,5,5,1,5,4,5,5,5,5,4,2,4,5,4,5,5,4,4,4,2,3,5,4,4,4,4,3,2,1,5,3,4,4,2,5,4,3,4,5,3,4
254,4,3,4,4,5,3,5,4,4,5,4,4,5,2,4,2,5,4,5,5,4,5,5,4,5,4,4,4,4,5,3,2,5,3,5,4,1,5,5,3,5,5,4,4
255,4,2,5,5,4,2,4,4,4,5,4,4,4,2,4,1,5,5,5,5,3,4,5,4,5,4,4,2,4,5,3,2,5,2,5,4,2,5,5,3,4,5,4,5
256,4,3,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4,2,2,4,2,4,2,4,4,3,3,3,4,2,4
257,4,4,5,4,4,2,4,2,4,4,4,5,5,4,5,1,5,5,4,4,3,4,4,2,4,3,2,3,2,4,3,4,4,4,5,2,4,4,3,3,5,4,3,4
258,4,3,4,4,5,4,4,3,3,4,4,4,4,2,4,4,4,4,3,5,4,4,4,3,4,3,3,3,3,3,2,3,4,3,4,4,4,4,3,4,4,4,2,3
259,4,3,5,5,5,2,4,2,3,4,4,4,4,2,4,2,4,3,4,4,2,5,4,4,5,3,1,4,1,4,1,2,4,2,4,3,2,4,3,3,5,3,2,4
260,4,2,4,3,4,1,4,3,4,5,5,4,4,3,4,2,4,5,4,5,4,4,4,3,4,4,4,4,4,4,1,1,5,1,5,4,3,4,3,3,4,4,4,3
261,4,4,5,5,4,2,4,4,4,4,4,4,4,2,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,2,2,4,3,4,4,3,3,3,,4,4,4,4
262,4,3,4,5,5,2,5,4,4,5,4,4,3,1,4,1,4,4,3,3,4,4,3,2,5,4,4,2,4,4,1,2,5,1,4,3,2,4,2,3,5,3,3,4
263,5,2,5,5,4,2,4,4,4,5,5,4,4,3,4,1,4,5,5,4,2,4,4,2,4,2,4,4,4,5,2,2,5,1,4,4,2,4,4,2,4,5,2,4
264,4,1,5,4,5,3,5,3,2,5,5,4,4,2,4,1,5,4,4,5,4,4,4,3,4,3,3,4,3,4,1,3,4,2,4,3,2,4,4,3,4,5,1,4
